"last_name, first_name",player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,year
"Murphy, Daniel",502517,103,15.5,35.9,109.6,85.1,95.4,86.9,86.8,410,164,389.0,26,25.2,5,4.9,3.8,2020
"Simmons, Andrelton",592743,102,6.0,27.5,105.8,86.5,96.4,87.8,89.0,359,113,,32,31.4,0,0.0,0.0,2020
"Acuña Jr., Ronald",660670,100,18.1,34.0,114.8,92.3,105.3,99.5,84.9,495,206,414.0,56,56.0,16,16.0,7.9,2020
"Hays, Austin",669720,99,11.0,27.3,106.9,87.0,97.3,88.8,86.5,407,146,405.0,31,31.3,4,4.0,3.0,2020
"White, Evan",657108,99,13.7,26.3,112.8,91.7,102.4,97.2,87.7,440,177,405.0,52,52.5,14,14.1,6.9,2020
"Mountcastle, Ryan",663624,98,10.8,34.7,108.2,87.4,100.1,91.4,86.1,420,164,409.0,41,41.8,7,7.1,5.0,2020
"Chavis, Michael",656308,98,10.0,37.8,108.3,88.3,99.3,93.2,84.2,428,159,410.0,37,37.8,7,7.1,4.4,2020
"O'Neill, Tyler",641933,97,15.1,23.7,107.4,88.0,99.3,95.4,79.8,438,174,404.0,38,39.2,8,8.2,5.1,2020
"Miller, Brad",543543,97,11.2,33.0,110.3,89.8,100.7,95.2,85.7,446,170,409.0,42,43.3,13,13.4,7.6,2020
"Díaz, Yandy",650490,97,-7.9,24.7,113.0,88.3,98.6,92.9,86.1,426,101,385.0,30,30.9,2,2.1,1.4,2020
"Sogard, Eric",519299,96,15.2,43.8,104.6,84.4,92.2,85.8,84.0,380,167,380.0,14,14.6,0,0.0,0.0,2020
"Bichette, Bo",666182,96,12.0,37.5,109.2,89.2,100.6,95.9,84.5,435,177,403.0,39,40.6,12,12.5,9.4,2020
"Gardner, Brett",458731,96,15.0,35.4,107.9,89.2,98.9,93.6,84.4,412,178,384.0,35,36.5,5,5.2,3.2,2020
"Sanó, Miguel",593934,96,20.2,31.3,115.8,95.2,107.1,101.3,91.0,458,203,412.0,55,57.3,22,22.9,10.7,2020
"Kiermaier, Kevin",595281,96,-0.4,28.1,110.2,87.7,99.4,95.4,84.2,427,118,413.0,40,41.7,6,6.3,3.8,2020
"Buxton, Byron",621439,96,23.6,25.0,111.9,91.2,102.6,96.8,86.6,442,187,410.0,46,47.9,13,13.5,9.6,2020
"Suzuki, Kurt",435559,95,18.0,31.6,104.0,83.9,94.6,88.2,80.8,390,183,384.0,23,24.2,3,3.2,2.3,2020
"Polanco, Gregory",570256,95,20.8,36.8,114.2,92.9,103.4,97.0,91.0,446,208,411.0,49,51.6,12,12.6,6.9,2020
"Tellez, Rowdy",642133,95,10.6,30.5,117.4,90.7,103.1,95.9,88.1,459,161,409.0,43,45.3,8,8.4,6.3,2020
"Naquin, Tyler",571980,95,13.0,34.7,110.3,91.7,101.8,95.0,89.5,425,171,387.0,49,51.6,9,9.5,6.4,2020
"Castro, Willi",650489,94,11.3,38.3,109.6,85.3,98.3,89.1,82.4,445,170,398.0,30,31.9,9,9.6,6.4,2020
"Moore, Dylan",664238,94,17.3,39.4,109.8,90.4,100.9,95.0,85.5,436,188,398.0,42,44.7,13,13.8,8.2,2020
"Inciarte, Ender",542255,94,8.4,29.8,98.5,78.2,89.4,85.3,71.2,384,147,384.0,6,6.4,1,1.1,0.8,2020
"Jansen, Danny",643376,93,16.3,35.5,109.3,85.1,98.2,90.5,78.0,427,179,409.0,33,35.5,8,8.6,5.4,2020
"Smith, Will",669257,93,24.2,41.9,108.8,90.8,100.2,94.5,81.3,439,218,396.0,44,47.3,12,12.9,8.8,2020
"Kelly, Carson",608348,93,16.7,32.3,105.4,86.3,97.3,89.4,84.6,425,173,394.0,32,34.4,4,4.3,3.1,2020
"Panik, Joe",605412,93,9.3,34.4,105.8,87.5,97.0,91.9,84.7,412,149,412.0,31,33.3,1,1.1,0.7,2020
"Odor, Rougned",596059,93,20.7,28.0,110.6,86.0,98.4,93.3,79.9,434,184,394.0,30,32.3,11,11.8,7.4,2020
"Carpenter, Matt",572761,92,17.1,44.6,106.2,88.1,97.5,93.1,79.8,439,204,404.0,33,36.3,9,9.8,5.3,2020
"Sánchez, Gary",596142,92,19.2,29.3,117.5,91.8,104.0,99.0,85.9,457,188,405.0,46,50.0,16,17.4,9.0,2020
"Goodrum, Niko",592348,92,16.0,34.8,105.6,88.8,98.9,94.3,81.8,426,197,402.0,37,40.2,9,9.8,5.0,2020
"Mazara, Nomar",608577,92,6.7,28.3,109.1,91.0,101.0,93.8,90.2,414,142,414.0,45,48.9,7,7.6,4.7,2020
"Goodwin, Brian",571718,92,20.7,41.3,109.6,89.9,99.4,93.8,85.0,411,197,392.0,38,41.3,10,10.9,6.1,2020
"Giménez, Andrés",665926,91,13.5,30.8,109.5,86.8,96.8,89.9,86.8,388,141,382.0,24,26.4,3,3.3,2.3,2020
"Bryant, Kris",592178,91,20.7,34.1,108.8,86.1,97.6,92.4,79.9,446,181,420.0,29,31.9,5,5.5,3.4,2020
"Soler, Jorge",624585,90,15.5,36.7,114.0,92.5,104.2,98.0,87.2,448,183,410.0,46,51.1,17,18.9,9.8,2020
"Chapman, Matt",656305,89,24.1,40.4,115.9,93.6,103.8,99.0,86.8,444,205,414.0,46,51.7,16,18.0,10.5,2020
"Choi, Ji Man",596847,89,15.7,30.3,109.9,89.0,100.0,94.5,85.1,429,167,401.0,35,39.3,3,3.4,2.1,2020
"Cooper, Garrett",643265,89,9.5,39.3,109.7,90.1,101.0,92.5,87.4,455,172,419.0,37,41.6,9,10.1,6.8,2020
"Stallings, Jacob",607732,88,12.4,31.8,105.0,88.6,99.1,91.0,86.0,419,178,401.0,33,37.5,4,4.5,2.8,2020
"Frazier, Clint",640449,88,11.6,38.6,108.8,89.4,100.2,94.5,82.7,410,180,381.0,38,43.2,11,12.5,6.9,2020
"Pederson, Joc",592626,87,12.5,26.4,112.1,93.0,102.2,98.1,90.4,435,157,411.0,39,44.8,9,10.3,6.5,2020
"Joyce, Matt",459964,87,12.5,36.8,106.2,86.7,96.4,91.0,81.7,404,181,395.0,28,32.2,3,3.4,2.0,2020
"Maldonado, Martín",455117,86,19.1,38.4,106.7,86.1,96.2,90.0,81.8,418,173,383.0,23,26.7,7,8.1,4.2,2020
"Bote, David",623520,86,9.3,25.6,110.3,92.4,102.3,95.8,91.0,455,150,414.0,45,52.3,9,10.5,6.2,2020
"Berti, Jon",542932,86,7.2,32.6,109.9,86.6,98.3,87.1,86.9,417,130,409.0,29,33.7,3,3.5,2.0,2020
"Renfroe, Hunter",592669,86,17.5,23.3,111.9,89.6,100.9,96.5,85.7,445,167,406.0,34,39.5,9,10.5,6.5,2020
"Hoerner, Nico",663538,86,0.8,26.7,106.7,87.5,97.8,93.5,84.0,391,130,,32,37.2,1,1.2,0.8,2020
"Camargo, Johan",622666,85,9.8,23.5,106.3,87.3,98.1,93.3,83.6,442,150,399.0,28,32.9,4,4.7,3.1,2020
"Caratini, Victor",605170,85,6.2,25.9,111.0,87.9,99.4,93.4,85.0,398,141,371.0,31,36.5,3,3.5,2.3,2020
"Romine, Austin",519222,84,7.7,33.3,111.6,87.9,101.3,91.7,87.9,418,142,389.0,40,47.6,4,4.8,3.0,2020
"Meadows, Austin",640457,84,24.2,28.6,108.6,90.3,100.0,94.4,85.4,445,208,407.0,37,44.0,6,7.1,3.9,2020
"Vogelbach, Daniel",596129,82,10.2,29.3,111.4,89.5,100.4,95.7,84.2,441,157,408.0,34,41.5,7,8.5,5.1,2020
"Gyorko, Jedd",576397,81,15.3,35.8,108.0,88.6,99.8,95.1,83.4,423,179,396.0,35,43.2,13,16.0,9.6,2020
"Thames, Eric",519346,81,14.6,35.8,105.8,88.7,99.4,95.3,83.6,429,177,410.0,38,46.9,5,6.2,3.6,2020
"Long Jr., Shed",643418,80,2.6,21.3,107.5,87.1,97.8,94.6,83.8,414,112,411.0,26,32.5,5,6.3,3.9,2020
"Murphy, Sean",669221,79,14.7,31.6,112.5,92.2,102.2,97.1,89.1,464,172,418.0,39,49.4,10,12.7,7.1,2020
"Choo, Shin-Soo",425783,79,11.4,38.0,111.2,90.0,99.6,95.1,86.1,405,158,397.0,28,35.4,8,10.1,6.3,2020
"Smoak, Justin",475253,78,15.3,33.3,107.0,89.6,98.9,95.2,85.6,416,171,379.0,31,39.7,3,3.8,2.3,2020
"O'Hearn, Ryan",656811,77,11.9,32.5,105.4,90.7,99.8,95.8,86.1,433,173,421.0,34,44.2,5,6.5,3.8,2020
"Taveras, Leody",665750,77,14.3,41.6,107.8,88.9,100.1,91.9,88.1,404,164,393.0,32,41.6,5,6.5,3.7,2020
"Kemp, Matt",461314,76,11.9,38.2,109.6,85.3,96.9,91.0,81.0,468,175,418.0,22,28.9,6,7.9,4.5,2020
"Gamel, Ben",592325,75,11.5,49.3,108.2,87.9,98.1,91.8,84.8,425,166,406.0,24,32.0,5,6.7,3.9,2020
"Kipnis, Jason",543401,75,18.2,28.0,107.0,86.2,97.0,90.9,84.9,426,182,422.0,23,30.7,7,9.3,5.2,2020
"Narváez, Omar",553882,69,18.7,36.2,105.5,81.6,91.8,87.6,77.7,387,166,365.0,15,21.7,5,7.2,4.0,2020
"Adell, Jo",666176,69,11.4,30.4,115.5,90.6,101.2,93.2,90.9,437,157,407.0,25,36.2,3,4.3,2.3,2020
"Bader, Harrison",664056,67,15.7,35.8,107.9,86.0,98.8,94.4,79.2,425,169,414.0,24,35.8,8,11.9,6.4,2020
"Merrifield, Whit",593160,573,14.1,39.8,107.8,86.9,96.2,91.4,82.2,414,169,384.0,165,28.8,20,3.5,2.8,2021
"Fletcher, David",664058,573,8.2,30.0,107.9,82.3,92.7,83.3,83.8,377,129,369.0,90,15.7,0,0.0,0.0,2021
"Edman, Tommy",669242,552,9.5,31.5,112.9,87.5,98.1,90.5,86.0,436,151,405.0,194,35.1,23,4.2,3.3,2021
"Kiner-Falefa, Isiah",643396,548,5.4,31.6,107.9,85.5,96.3,89.5,83.6,423,134,401.0,158,28.8,10,1.8,1.5,2021
"Altuve, Jose",514888,517,15.6,31.9,109.1,87.7,98.4,92.9,84.1,435,163,386.0,181,35.0,33,6.4,4.9,2021
"Frazier, Adam",624428,512,12.6,38.9,108.7,85.4,94.8,87.1,85.3,411,158,383.0,129,25.2,5,1.0,0.8,2021
"Crawford, J.P.",641487,510,9.8,34.1,110.5,86.3,97.3,88.3,86.4,430,146,383.0,156,30.6,12,2.4,1.7,2021
"Semien, Marcus",543760,509,20.3,35.2,109.5,89.7,99.3,93.9,84.3,439,199,388.0,210,41.3,50,9.8,6.9,2021
"LeMahieu, DJ",518934,508,5.0,33.3,110.6,90.6,100.1,92.9,89.2,412,141,375.0,220,43.5,19,3.7,2.8,2021
"Albies, Ozzie",645277,508,21.1,37.0,111.4,89.6,98.7,92.3,86.3,439,200,401.0,189,37.2,47,9.3,6.9,2021
"Bichette, Bo",666182,507,7.3,33.5,115.5,91.4,102.6,94.6,90.0,468,153,401.0,241,47.5,50,9.9,7.2,2021
"Arenado, Nolan",571448,504,20.0,34.1,110.6,89.0,98.7,92.1,87.4,409,188,387.0,189,37.5,34,6.7,5.2,2021
"Schoop, Jonathan",570731,498,10.8,30.1,117.1,88.1,101.2,91.7,87.9,440,145,395.0,200,40.2,34,6.8,5.0,2021
"Guerrero Jr., Vladimir",665489,496,9.4,33.7,117.4,95.1,106.8,98.5,93.4,465,172,409.0,274,55.2,75,15.1,10.7,2021
"Freeman, Freddie",518692,495,12.0,37.2,113.6,91.4,101.8,95.4,87.4,446,178,407.0,228,46.1,57,11.5,8.2,2021
"Turner, Trea",607208,489,11.4,34.6,112.2,89.6,101.3,92.6,88.1,443,159,406.0,226,46.2,36,7.4,5.6,2021
"Newman, Kevin",621028,485,9.9,31.8,109.4,85.3,95.8,86.8,86.1,400,146,384.0,126,26.0,8,1.6,1.4,2021
"Cronenworth, Jake",630105,483,12.5,35.8,110.8,88.6,98.7,92.2,86.5,445,165,400.0,169,35.0,35,7.2,5.4,2021
"Mullins, Cedric",656775,482,14.8,35.5,109.7,89.4,99.4,92.4,88.7,440,171,397.0,190,39.4,39,8.1,5.8,2021
"Polanco, Jorge",593871,476,19.3,36.1,109.9,89.4,99.6,93.5,83.1,435,188,399.0,178,37.4,48,10.1,7.5,2021
"Gurriel, Yuli",493329,474,13.4,31.0,109.1,89.8,99.9,91.0,91.3,413,161,384.0,199,42.0,16,3.4,2.6,2021
"Machado, Manny",592518,473,14.0,33.8,119.6,93.1,104.9,96.8,91.5,453,177,401.0,247,52.2,63,13.3,9.8,2021
"Goldschmidt, Paul",502671,472,17.1,36.9,112.2,92.6,102.7,96.6,88.7,470,188,415.0,239,50.6,64,13.6,9.4,2021
"France, Ty",664034,471,11.0,35.9,111.1,88.5,99.6,92.5,85.5,442,160,403.0,183,38.9,32,6.8,4.9,2021
"Ramírez, José",608070,470,18.2,33.4,112.6,90.0,100.8,94.7,88.0,429,179,388.0,199,42.4,52,11.1,8.2,2021
"Santana, Carlos",467793,468,12.9,28.0,111.2,89.9,100.5,94.1,88.2,447,155,408.0,196,41.9,32,6.8,4.9,2021
"Olson, Matt",621566,463,16.2,32.4,115.3,91.6,102.9,96.1,88.7,445,178,401.0,226,48.8,59,12.7,8.8,2021
"Haniger, Mitch",571745,459,14.8,33.6,110.0,89.3,100.9,94.2,85.2,438,172,401.0,207,45.1,58,12.6,8.4,2021
"Perez, Salvador",521692,454,15.9,34.1,114.4,93.0,104.1,97.6,88.8,460,189,407.0,255,56.2,74,16.3,11.1,2021
"Verdugo, Alex",657077,453,7.7,34.7,110.8,90.0,100.4,94.6,87.2,446,150,402.0,196,43.3,33,7.3,5.5,2021
"Devers, Rafael",646240,452,13.1,35.2,114.4,92.9,104.1,97.3,90.3,457,175,414.0,234,51.8,68,15.0,10.2,2021
"Straw, Myles",664702,448,11.9,42.0,109.8,87.1,95.7,88.1,86.7,409,165,364.0,117,26.2,6,1.3,0.9,2021
"Seager, Kyle",572122,446,19.5,35.7,111.0,89.0,99.7,94.1,82.4,446,196,402.0,179,40.1,55,12.3,8.2,2021
"Correa, Carlos",621043,445,12.1,33.5,116.4,90.2,101.6,94.0,88.5,442,166,386.0,190,42.7,42,9.4,6.6,2021
"Reynolds, Bryan",668804,444,13.4,39.9,112.7,89.4,100.9,93.8,84.0,454,181,410.0,181,40.8,46,10.4,7.1,2021
"Turner, Justin",457759,441,19.2,36.5,109.8,90.9,99.6,93.3,89.0,425,192,394.0,187,42.4,35,7.9,5.7,2021
"Segura, Jean",516416,441,5.8,30.8,113.1,87.2,99.7,92.5,84.6,433,137,396.0,165,37.4,26,5.9,4.6,2021
"Hernández, César",514917,438,10.7,32.6,110.2,87.4,98.4,90.6,85.3,425,159,395.0,145,33.2,30,6.8,4.7,2021
"Lopez, Nicky",670032,438,2.8,27.4,107.9,86.8,95.9,90.0,85.2,395,121,382.0,118,26.9,3,0.7,0.5,2021
"Alonso, Pete",624413,438,14.7,34.5,118.4,91.0,103.7,95.5,88.0,453,183,407.0,207,47.3,65,14.8,10.2,2021
"Rosario, Amed",642708,434,5.5,32.0,111.5,88.8,100.0,90.8,88.8,423,140,404.0,188,43.5,12,2.8,2.0,2021
"Harrison, Josh",543281,433,14.5,39.5,108.2,87.2,97.2,89.9,85.5,417,172,396.0,141,32.6,19,4.4,3.4,2021
"Abreu, José",547989,433,10.4,31.2,115.6,92.0,102.9,95.3,90.0,458,161,402.0,213,49.3,44,10.2,6.7,2021
"Riley, Austin",663586,430,14.2,36.5,114.2,90.1,102.9,95.0,84.8,449,178,403.0,196,45.6,57,13.3,8.6,2021
"Swanson, Dansby",621020,429,14.1,36.6,109.6,89.3,99.9,94.4,83.8,440,177,403.0,183,42.7,49,11.4,7.5,2021
"Escobar, Eduardo",500871,426,20.8,38.0,110.8,87.0,98.2,91.8,82.2,453,190,407.0,147,34.5,38,8.9,6.3,2021
"Blackmon, Charlie",453568,426,10.2,32.6,109.8,87.6,99.4,92.7,84.4,444,157,410.0,164,38.5,30,7.0,5.2,2021
"Martinez, J.D.",502110,425,16.9,41.2,113.2,92.1,102.4,95.3,88.1,444,195,398.0,210,49.4,53,12.5,8.4,2021
"Andrus, Elvis",462101,423,8.1,34.0,109.8,87.8,98.1,91.3,86.3,422,146,401.0,147,34.8,9,2.1,1.7,2021
"Bogaerts, Xander",593428,423,12.5,36.4,113.6,89.6,100.9,93.7,86.4,446,168,402.0,182,43.0,41,9.7,6.8,2021
"Rojas, Miguel",500743,423,11.5,32.4,109.4,86.2,96.9,89.0,86.4,409,152,398.0,139,32.9,12,2.8,2.2,2021
"Tapia, Raimel",606132,422,-4.4,19.9,109.9,85.7,97.0,88.7,85.0,442,98,414.0,133,31.5,9,2.1,1.7,2021
"Candelario, Jeimer",600869,422,12.6,38.6,111.0,88.7,99.8,91.7,85.9,436,171,396.0,165,39.1,38,9.0,6.1,2021
"Tucker, Kyle",663656,421,17.6,42.0,111.1,91.4,100.8,94.3,88.8,459,201,394.0,200,47.5,49,11.6,8.6,2021
"Brantley, Michael",488726,417,9.9,38.8,109.4,89.5,99.7,92.8,87.6,424,159,398.0,179,42.9,24,5.8,4.7,2021
"Castellanos, Nick",592206,416,14.0,44.0,111.9,89.8,101.5,94.9,83.0,446,190,399.0,195,46.9,44,10.6,7.5,2021
"Mancini, Trey",641820,414,9.7,36.0,113.9,88.9,101.5,93.8,86.0,455,159,409.0,174,42.0,43,10.4,7.0,2021
"Soto, Juan",665742,414,5.8,29.7,116.6,93.0,104.6,98.1,89.4,454,148,399.0,218,52.7,55,13.3,8.4,2021
"Rizzo, Anthony",519203,414,14.8,31.2,115.2,90.1,100.7,93.1,88.1,449,168,402.0,170,41.1,32,7.7,5.6,2021
"Hosmer, Eric",543333,413,3.3,26.6,112.5,90.5,102.4,95.3,89.3,453,133,415.0,194,47.0,24,5.8,4.2,2021
"Grossman, Robbie",543257,410,21.1,39.5,110.9,87.8,97.7,90.7,84.0,442,198,391.0,140,34.1,31,7.6,4.6,2021
"Iglesias, Jose",578428,409,11.5,35.5,110.2,85.4,96.6,88.9,83.1,417,155,396.0,117,28.6,14,3.4,2.7,2021
"Anderson, Tim",641313,409,4.3,32.5,110.2,89.6,100.5,94.8,86.3,417,141,389.0,171,42.3,32,7.8,5.8,2021
"Gurriel Jr., Lourdes",666971,405,10.5,35.8,110.7,89.7,100.4,94.3,86.3,460,165,399.0,174,43.0,39,9.6,7.2,2021
"Hernández, Enrique",571771,405,17.9,36.5,111.3,90.8,100.0,93.7,88.1,434,191,393.0,175,43.2,34,8.4,5.8,2021
"Hernández, Teoscar",606192,404,13.1,37.4,115.7,91.8,103.3,96.3,86.7,464,182,405.0,198,49.0,56,13.9,9.4,2021
"Meadows, Austin",640457,404,21.7,36.1,110.3,89.3,99.2,91.9,87.4,443,201,394.0,153,37.9,35,8.7,5.9,2021
"Benintendi, Andrew",643217,403,15.4,38.2,107.6,89.6,98.8,93.9,83.8,420,187,391.0,174,43.2,36,8.9,6.7,2021
"Grichuk, Randal",545341,401,16.1,30.4,113.8,89.8,101.3,93.5,88.6,459,167,403.0,165,41.1,34,8.5,6.2,2021
"Bell, Josh",605137,400,4.9,28.5,115.8,92.5,103.3,96.5,90.3,448,144,411.0,208,52.0,35,8.8,6.2,2021
"Carlson, Dylan",666185,399,15.1,40.6,109.0,88.2,97.4,91.4,84.5,420,179,395.0,124,31.1,28,7.0,4.5,2021
"Lowe, Nathaniel",663993,398,5.0,31.4,113.9,90.8,101.9,93.0,89.4,465,146,413.0,181,45.5,38,9.5,5.9,2021
"Judge, Aaron",592450,397,11.6,38.5,119.0,95.8,107.1,98.5,93.3,455,185,402.0,230,58.4,70,17.6,11.1,2021
"Peralta, David",444482,397,5.3,27.2,113.8,89.3,101.2,93.1,88.1,445,133,410.0,166,41.8,20,5.0,3.7,2021
"Renfroe, Hunter",592669,397,15.6,32.7,116.4,90.1,102.7,96.3,85.6,456,177,413.0,176,44.3,57,14.4,10.0,2021
"Cruz, Nelson",443558,396,11.8,31.8,117.5,92.9,105.5,97.6,90.4,457,169,410.0,208,52.5,54,13.6,9.2,2021
"India, Jonathan",663697,396,13.1,33.6,110.2,87.6,99.5,93.0,83.4,451,164,407.0,153,38.6,38,9.6,6.0,2021
"Alvarez, Yordan",670541,395,14.1,37.2,116.4,93.2,104.4,97.4,88.5,456,192,408.0,214,54.2,63,15.9,10.5,2021
"Canha, Mark",592192,393,13.5,36.1,107.7,87.3,97.9,92.7,83.0,416,169,386.0,139,35.4,28,7.1,4.5,2021
"Smith, Pavin",656976,393,9.0,33.6,110.8,87.2,100.1,92.3,84.8,443,158,410.0,168,42.7,20,5.1,3.7,2021
"Story, Trevor",596115,392,17.5,34.2,111.0,90.6,100.8,94.1,87.5,475,187,419.0,167,42.6,39,9.9,6.6,2021
"Farmer, Kyle",571657,392,15.8,36.0,107.6,87.2,97.5,92.0,83.5,424,168,394.0,125,31.9,17,4.3,3.2,2021
"García, Adolis",666969,391,14.7,29.4,112.4,91.0,101.1,96.3,85.7,450,174,398.0,178,45.5,45,11.5,7.2,2021
"Arraez, Luis",650333,386,9.9,41.5,104.2,88.4,96.2,91.1,85.7,405,162,400.0,118,30.6,9,2.3,1.9,2021
"McMahon, Ryan",641857,386,14.3,40.2,111.5,90.5,100.8,93.9,86.8,478,184,409.0,168,43.5,28,7.3,4.7,2021
"Betts, Mookie",605141,385,18.9,34.0,107.9,90.3,99.1,93.3,87.1,427,186,396.0,158,41.0,30,7.8,5.5,2021
"Hays, Austin",669720,385,12.5,32.2,110.3,88.8,99.7,92.9,85.8,421,164,391.0,151,39.2,35,9.1,6.6,2021
"Díaz, Yandy",650490,384,6.6,28.9,113.5,89.9,101.6,93.0,89.2,439,145,397.0,156,40.6,27,7.0,5.0,2021
"Crawford, Brandon",543063,383,14.7,35.8,109.8,88.8,99.8,94.7,83.5,444,178,399.0,166,43.3,44,11.5,8.0,2021
"Walsh, Jared",665120,381,7.6,33.6,114.8,89.6,101.7,94.0,86.8,437,153,402.0,157,41.3,43,11.3,7.4,2021
"Mountcastle, Ryan",663624,380,16.3,38.9,114.6,89.1,100.5,92.5,84.9,447,189,396.0,151,39.7,45,11.8,7.7,2021
"Bryant, Kris",592178,380,15.1,37.1,110.4,88.2,99.2,92.8,82.8,434,180,391.0,152,40.0,39,10.3,6.7,2021
"Soler, Jorge",624585,379,15.7,30.9,117.9,91.2,103.6,95.8,88.2,465,178,422.0,178,47.0,48,12.7,8.0,2021
"Herrera, Odúbel",546318,379,7.3,32.5,113.0,88.9,100.9,92.2,88.3,434,145,413.0,152,40.1,18,4.7,3.7,2021
"Vázquez, Christian",543877,379,13.6,32.7,109.7,86.3,97.0,90.2,83.9,409,157,390.0,118,31.1,10,2.6,2.0,2021
"Muncy, Max",571970,378,15.2,34.9,112.3,91.2,102.1,97.3,83.6,466,190,411.0,176,46.6,61,16.1,10.3,2021
"Urías, Luis",649966,378,14.2,34.9,111.5,87.9,99.1,93.4,84.8,427,166,397.0,153,40.5,35,9.3,6.1,2021
"Lowe, Brandon",664040,371,16.9,37.2,111.2,89.3,100.9,93.8,83.8,441,193,398.0,160,43.1,52,14.0,8.5,2021
"Marte, Starling",516782,371,4.6,32.3,112.9,87.6,100.2,93.4,84.5,436,137,418.0,147,39.6,31,8.4,5.9,2021
"Wong, Kolten",543939,365,12.8,34.8,107.1,88.3,98.3,91.5,86.3,415,162,391.0,127,34.8,20,5.5,4.1,2021
"Lindor, Francisco",596019,365,14.4,35.3,112.9,90.7,100.7,94.0,88.3,436,172,396.0,161,44.1,30,8.2,5.7,2021
"Moncada, Yoán",660162,365,11.3,40.0,113.8,90.1,100.9,92.8,88.0,433,165,402.0,149,41.2,30,8.2,4.9,2021
"Arozarena, Randy",668227,364,7.6,29.7,112.6,89.9,101.3,94.5,87.3,445,149,401.0,154,42.3,30,8.2,5.0,2021
"Molina, Yadier",425877,364,15.3,34.1,108.2,88.0,97.7,92.1,84.6,433,173,394.0,115,31.6,19,5.2,4.0,2021
"Aguilar, Jesús",542583,363,19.0,34.7,110.6,89.6,100.0,92.5,87.4,444,193,399.0,149,41.0,31,8.5,6.1,2021
"Cabrera, Miguel",408234,363,10.0,32.8,112.6,91.4,102.0,95.9,88.1,445,162,394.0,178,49.0,30,8.3,5.7,2021
"Torres, Gleyber",650402,361,14.2,37.1,111.6,87.1,98.7,92.0,82.1,425,169,389.0,129,35.7,28,7.8,5.4,2021
"Harper, Bryce",547180,360,13.3,38.6,116.3,92.5,104.1,97.6,86.5,468,186,411.0,179,49.7,65,18.1,10.9,2021
"McCutchen, Andrew",457705,357,14.6,33.6,110.8,88.8,99.4,93.4,83.9,445,175,402.0,141,39.5,32,9.0,5.6,2021
"Cron, C.J.",543068,357,15.8,31.9,114.7,88.8,101.7,92.5,86.6,465,183,420.0,150,42.0,41,11.5,7.5,2021
"Stanton, Giancarlo",519317,356,10.3,32.6,122.2,95.1,108.7,99.3,93.3,472,168,414.0,198,56.3,56,15.7,9.7,2021
"Margot, Manuel",622534,356,10.7,31.5,109.6,87.9,99.8,92.1,86.3,427,150,401.0,143,40.2,18,5.1,3.9,2021
"Solak, Nick",669256,355,7.0,29.3,110.6,86.9,98.2,92.9,83.4,423,138,386.0,119,33.5,23,6.5,4.5,2021
"Simmons, Andrelton",592743,354,3.9,28.8,108.2,84.1,94.6,87.3,84.0,408,122,389.0,77,21.8,2,0.6,0.4,2021
"Lowrie, Jed",476704,353,16.4,36.5,109.9,90.7,100.2,94.1,87.7,433,188,398.0,162,45.9,33,9.3,6.4,2021
"Pham, Tommy",502054,351,7.6,35.6,112.7,90.8,101.8,96.1,86.7,486,159,402.0,167,47.6,35,10.0,6.2,2021
"Donaldson, Josh",518626,351,14.6,30.2,114.7,94.1,104.2,98.7,90.4,446,173,410.0,185,52.7,61,17.4,11.2,2021
"Rojas, Josh",668942,351,8.4,40.7,104.6,88.2,97.1,91.6,85.6,428,159,404.0,109,31.1,17,4.8,3.1,2021
"Ohtani, Shohei",660271,350,16.6,35.4,119.0,93.6,105.9,100.4,85.9,470,197,416.0,187,53.6,78,22.3,12.2,2021
"Wendle, Joey",621563,350,6.2,30.6,108.7,87.9,98.2,91.8,84.9,451,152,390.0,121,34.6,16,4.6,3.2,2021
"Realmuto, J.T.",592663,349,11.5,31.2,111.2,89.6,101.3,94.3,85.9,433,160,382.0,156,44.7,30,8.6,5.6,2021
"Winker, Jesse",608385,348,10.8,38.2,113.4,90.6,101.3,95.6,86.9,456,171,407.0,164,47.1,39,11.2,8.0,2021
"Grisham, Trent",663757,348,12.3,30.7,109.4,88.8,99.3,93.1,85.5,419,162,386.0,128,36.8,18,5.2,3.4,2021
"Taylor, Michael A.",572191,346,12.1,30.3,111.5,89.4,100.4,92.5,86.7,458,162,405.0,139,40.2,23,6.6,4.4,2021
"García, Avisaíl",541645,345,9.3,35.9,116.7,90.4,102.7,95.2,87.1,464,166,409.0,160,46.4,42,12.2,8.2,2021
"Taylor, Chris",621035,344,17.4,38.1,110.7,88.2,99.8,92.7,82.8,443,182,404.0,131,38.1,35,10.2,6.0,2021
"Duvall, Adam",594807,342,23.6,33.3,113.8,89.8,101.6,94.9,83.3,483,197,414.0,150,43.9,55,16.1,9.9,2021
"Adames, Willy",642715,342,16.8,35.1,112.5,89.5,100.7,94.4,83.0,446,189,397.0,153,44.7,39,11.4,7.0,2021
"Yastrzemski, Mike",573262,341,19.4,33.1,109.4,89.5,99.2,93.5,84.4,451,191,401.0,134,39.3,35,10.3,6.6,2021
