playerID,yearID,nameFirst,nameLast,G,AB,R,H,HR,RBI,BB,SO,SB,AVG,HR_rate,BB_rate
adriaeh01,2024,Ehire,Adrianza,8,26,4,5,1,2.0,2,11.0,0.0,0.19230769230769232,0.038461538461538464,0.07142857142857142
aguilje01,2020,Jesus,Aguilar,51,188,31,52,8,34.0,23,40.0,0.0,0.2765957446808511,0.0425531914893617,0.10900473933649289
aguilje01,2021,Jesus,Aguilar,131,449,49,117,22,93.0,46,93.0,0.0,0.26057906458797325,0.04899777282850779,0.09292929292929293
aguilje01,2022,Jesus,Aguilar,129,464,39,109,16,51.0,28,119.0,1.0,0.2349137931034483,0.034482758620689655,0.056910569105691054
aguilje01,2023,Jesus,Aguilar,36,104,8,23,5,9.0,8,31.0,0.0,0.22115384615384615,0.04807692307692308,0.07142857142857142
aguilry01,2022,Ryan,Aguilar,7,22,2,3,0,2.0,2,14.0,0.0,0.13636363636363635,0.0,0.08333333333333333
ahmedni01,2020,Nick,Ahmed,57,199,29,53,5,29.0,18,46.0,4.0,0.2663316582914573,0.02512562814070352,0.08294930875576037
ahmedni01,2021,Nick,Ahmed,129,434,46,96,5,38.0,34,104.0,7.0,0.22119815668202766,0.01152073732718894,0.07264957264957266
ahmedni01,2022,Nick,Ahmed,17,52,7,12,3,7.0,2,15.0,0.0,0.23076923076923078,0.057692307692307696,0.037037037037037035
ahmedni01,2023,Nick,Ahmed,72,198,14,42,2,17.0,12,52.0,5.0,0.21212121212121213,0.010101010101010102,0.05714285714285714
ahmedni01,2024,Nick,Ahmed,71,210,20,48,2,17.0,11,51.0,2.0,0.22857142857142856,0.009523809523809525,0.049773755656108594
akinke01,2021,Keegan,Akin,24,2,0,0,0,0.0,0,2.0,0.0,0.0,0.0,0.0
akiyash01,2020,Shogo,Akiyama,54,155,16,38,0,9.0,25,34.0,7.0,0.24516129032258063,0.0,0.1388888888888889
akiyash01,2021,Shogo,Akiyama,88,162,16,33,0,12.0,14,40.0,2.0,0.2037037037037037,0.0,0.07954545454545454
alanirj01,2021,R. J.,Alaniz,3,1,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
alberha01,2020,Hanser,Alberto,54,219,35,62,3,22.0,5,30.0,3.0,0.2831050228310502,0.0136986301369863,0.022321428571428572
alberha01,2021,Hanser,Alberto,103,241,25,65,2,24.0,4,26.0,3.0,0.2697095435684647,0.008298755186721992,0.0163265306122449
alberha01,2022,Hanser,Alberto,73,156,13,38,2,15.0,3,25.0,0.0,0.24358974358974358,0.01282051282051282,0.018867924528301886
alberha01,2023,Hanser,Alberto,30,82,11,18,3,16.0,4,13.0,0.0,0.21951219512195122,0.036585365853658534,0.046511627906976744
albieoz01,2020,Ozzie,Albies,29,118,21,32,6,19.0,5,30.0,3.0,0.2711864406779661,0.05084745762711865,0.04065040650406504
albieoz01,2021,Ozzie,Albies,156,629,103,163,30,106.0,47,128.0,20.0,0.2591414944356121,0.04769475357710652,0.0695266272189349
albieoz01,2022,Ozzie,Albies,64,247,36,61,8,35.0,16,47.0,3.0,0.24696356275303644,0.032388663967611336,0.060836501901140684
albieoz01,2023,Ozzie,Albies,148,596,96,167,33,109.0,46,107.0,13.0,0.2802013422818792,0.05536912751677853,0.07165109034267912
albieoz01,2024,Ozzie,Albies,99,399,52,100,10,53.0,27,65.0,8.0,0.2506265664160401,0.02506265664160401,0.06338028169014084
alcanke01,2024,Kevin,Alcántara,3,10,1,1,0,0.0,0,1.0,0.0,0.1,0.0,0.0
alcansa01,2021,Sandy,Alcantara,33,58,0,2,0,0.0,3,45.0,0.0,0.034482758620689655,0.0,0.04918032786885246
alcanse01,2020,Sergio,Alcantara,10,21,2,3,1,1.0,2,4.0,0.0,0.14285714285714285,0.047619047619047616,0.08695652173913043
alcanse01,2021,Sergio,Alcantara,89,220,30,45,5,17.0,30,74.0,3.0,0.20454545454545456,0.022727272727272728,0.12
alcanse01,2022,Sergio,Alcantara,93,205,26,45,6,29.0,12,57.0,1.0,0.21951219512195122,0.02926829268292683,0.055299539170506916
alexabl01,2024,Blaze,Alexander,61,166,19,41,3,21.0,15,49.0,3.0,0.2469879518072289,0.018072289156626505,0.08287292817679558
alexacj01,2024,CJ,Alexander,4,8,0,1,0,0.0,0,3.0,0.0,0.125,0.0,0.0
alexaty01,2021,Tyler,Alexander,41,2,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
alfarjo01,2020,Jorge,Alfaro,31,93,12,21,3,16.0,4,36.0,2.0,0.22580645161290322,0.03225806451612903,0.041237113402061855
alfarjo01,2021,Jorge,Alfaro,92,295,22,72,4,30.0,11,99.0,8.0,0.2440677966101695,0.013559322033898305,0.03594771241830065
alfarjo01,2022,Jorge,Alfaro,82,256,25,63,7,40.0,11,98.0,1.0,0.24609375,0.02734375,0.04119850187265917
alfarjo01,2023,Jorge,Alfaro,18,48,2,7,1,4.0,2,15.0,0.0,0.14583333333333334,0.020833333333333332,0.04
alforan01,2020,Anthony,Alford,18,28,5,6,2,7.0,1,8.0,3.0,0.21428571428571427,0.07142857142857142,0.034482758620689655
